2022 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place NSW[Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:07 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0],,,,,,,,,,,,,,
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,18,Peakhurst West,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1209,-2.98
NSW,103,Banks,18,Peakhurst West,36774,SOON,Zhi,7,N,N,ALP,Labor,995,2.98
NSW,103,Banks,19,Penshurst,37018,COLEMAN,David,1,Y,Y,LP,Liberal,466,-9.51
NSW,103,Banks,19,Penshurst,36774,SOON,Zhi,7,N,N,ALP,Labor,484,9.51
NSW,103,Banks,60,Penshurst Central,37018,COLEMAN,David,1,Y,Y,LP,Liberal,753,-2.93
NSW,103,Banks,60,Penshurst Central,36774,SOON,Zhi,7,N,N,ALP,Labor,900,2.93
NSW,103,Banks,22,Picnic Point North,37018,COLEMAN,David,1,Y,Y,LP,Liberal,872,-1.44
NSW,103,Banks,22,Picnic Point North,36774,SOON,Zhi,7,N,N,ALP,Labor,569,1.44
NSW,103,Banks,83635,Picnic Point South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,122,-4.9
NSW,103,Banks,83635,Picnic Point South,36774,SOON,Zhi,7,N,N,ALP,Labor,49,4.9
NSW,103,Banks,57281,Revesby,37018,COLEMAN,David,1,Y,Y,LP,Liberal,608,1.91
NSW,103,Banks,57281,Revesby,36774,SOON,Zhi,7,N,N,ALP,Labor,578,-1.91
NSW,103,Banks,25,Revesby North (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,796,0.21
NSW,103,Banks,25,Revesby North (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,728,-0.21
NSW,103,Banks,26,Revesby South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,1101,0.14
NSW,103,Banks,26,Revesby South,36774,SOON,Zhi,7,N,N,ALP,Labor,898,-0.14
NSW,103,Banks,3,Riverwood East (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,488,0.62
NSW,103,Banks,3,Riverwood East (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,542,-0.62
NSW,103,Banks,27,Riverwood North,37018,COLEMAN,David,1,Y,Y,LP,Liberal,383,5.6
NSW,103,Banks,27,Riverwood North,36774,SOON,Zhi,7,N,N,ALP,Labor,528,-5.6
NSW,103,Banks,28,Riverwood South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,640,0.53
NSW,103,Banks,28,Riverwood South,36774,SOON,Zhi,7,N,N,ALP,Labor,564,-0.53
NSW,103,Banks,108390,Sydney (Banks),37018,COLEMAN,David,1,Y,Y,LP,Liberal,19,4.97
NSW,103,Banks,108390,Sydney (Banks),36774,SOON,Zhi,7,N,N,ALP,Labor,16,-4.97
NSW,103,Banks,97610,Sydney BANKS PPVC,37018,COLEMAN,David,1,Y,Y,LP,Liberal,159,-7.56
NSW,103,Banks,97610,Sydney BANKS PPVC,36774,SOON,Zhi,7,N,N,ALP,Labor,188,7.56
NSW,104,Barton,32,Arncliffe,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,850,7.77
NSW,104,Barton,32,Arncliffe,37017,GOODY,John,4,N,N,LP,Liberal,331,-7.77
NSW,104,Barton,34,Arncliffe Central,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,964,1.61
NSW,104,Barton,34,Arncliffe Central,37017,GOODY,John,4,N,N,LP,Liberal,493,-1.61
NSW,104,Barton,83610,Arncliffe North,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,225,11.51
NSW,104,Barton,83610,Arncliffe North,37017,GOODY,John,4,N,N,LP,Liberal,109,-11.51
NSW,104,Barton,2642,Arncliffe West,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1408,5.4
NSW,104,Barton,2642,Arncliffe West,37017,GOODY,John,4,N,N,LP,Liberal,604,-5.4
NSW,104,Barton,2643,Bardwell Park,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,617,7.58
NSW,104,Barton,2643,Bardwell Park,37017,GOODY,John,4,N,N,LP,Liberal,388,-7.58
NSW,104,Barton,65982,Belmore BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1612,6.13
NSW,104,Barton,65982,Belmore BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,1181,-6.13
NSW,104,Barton,2645,Beverly Hills,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,541,4.42
NSW,104,Barton,2645,Beverly Hills,37017,GOODY,John,4,N,N,LP,Liberal,442,-4.42
NSW,104,Barton,2670,Beverly Hills Central,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,308,12.02
NSW,104,Barton,2670,Beverly Hills Central,37017,GOODY,John,4,N,N,LP,Liberal,227,-12.02
NSW,104,Barton,2646,Beverly Hills South (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,336,6.25
NSW,104,Barton,2646,Beverly Hills South (Barton),37017,GOODY,John,4,N,N,LP,Liberal,221,-6.25
NSW,104,Barton,2647,Bexley,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,987,6.71
NSW,104,Barton,2647,Bexley,37017,GOODY,John,4,N,N,LP,Liberal,521,-6.71
NSW,104,Barton,97658,Bexley Central,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,348,-0.33
NSW,104,Barton,97658,Bexley Central,37017,GOODY,John,4,N,N,LP,Liberal,246,0.33
NSW,104,Barton,2640,Bexley East,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,678,8.24
NSW,104,Barton,2640,Bexley East,37017,GOODY,John,4,N,N,LP,Liberal,315,-8.24
NSW,104,Barton,2649,Bexley North,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,720,5.98
NSW,104,Barton,2649,Bexley North,37017,GOODY,John,4,N,N,LP,Liberal,377,-5.98
NSW,104,Barton,2662,Bexley North Park,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,785,4.07
NSW,104,Barton,2662,Bexley North Park,37017,GOODY,John,4,N,N,LP,Liberal,585,-4.07
NSW,104,Barton,83607,Bexley South,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,436,8.13
NSW,104,Barton,83607,Bexley South,37017,GOODY,John,4,N,N,LP,Liberal,250,-8.13
NSW,104,Barton,2650,Bexley West,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1002,8.02
NSW,104,Barton,2650,Bexley West,37017,GOODY,John,4,N,N,LP,Liberal,569,-8.02
NSW,104,Barton,83605,Brighton North,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,333,3.87
NSW,104,Barton,83605,Brighton North,37017,GOODY,John,4,N,N,LP,Liberal,247,-3.87
NSW,104,Barton,38,Brighton-Le-Sands (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,876,2.65
NSW,104,Barton,38,Brighton-Le-Sands (Barton),37017,GOODY,John,4,N,N,LP,Liberal,729,-2.65
NSW,104,Barton,2652,Canterbury South,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1285,3.74
NSW,104,Barton,2652,Canterbury South,37017,GOODY,John,4,N,N,LP,Liberal,482,-3.74
NSW,104,Barton,2653,Carlton,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1271,3.27
NSW,104,Barton,2653,Carlton,37017,GOODY,John,4,N,N,LP,Liberal,707,-3.27
NSW,104,Barton,47,Carlton South (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,428,3.85
NSW,104,Barton,47,Carlton South (Barton),37017,GOODY,John,4,N,N,LP,Liberal,229,-3.85
NSW,104,Barton,108380,Central Sydney (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,9,18.7
NSW,104,Barton,108380,Central Sydney (Barton),37017,GOODY,John,4,N,N,LP,Liberal,2,-18.7
NSW,104,Barton,97585,Central Sydney BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,143,8.37
NSW,104,Barton,97585,Central Sydney BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,42,-8.37
NSW,104,Barton,2656,Clemton Park,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1292,0.26
NSW,104,Barton,2656,Clemton Park,37017,GOODY,John,4,N,N,LP,Liberal,887,-0.26
NSW,104,Barton,83606,Clemton Park West,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,221,12.61
NSW,104,Barton,83606,Clemton Park West,37017,GOODY,John,4,N,N,LP,Liberal,132,-12.61
NSW,104,Barton,83609,Earlwood,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,516,4.56
NSW,104,Barton,83609,Earlwood,37017,GOODY,John,4,N,N,LP,Liberal,334,-4.56
NSW,104,Barton,2660,Earlwood Central,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,744,1.78
NSW,104,Barton,2660,Earlwood Central,37017,GOODY,John,4,N,N,LP,Liberal,641,-1.78
NSW,104,Barton,2661,Earlwood South,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1261,0.91
NSW,104,Barton,2661,Earlwood South,37017,GOODY,John,4,N,N,LP,Liberal,860,-0.91
NSW,104,Barton,65449,EAV Barton PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,14,0
NSW,104,Barton,65449,EAV Barton PPVC,37017,GOODY,John,4,N,N,LP,Liberal,6,0
NSW,104,Barton,108560,EAV COVID19 Barton PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,250,75.3
NSW,104,Barton,108560,EAV COVID19 Barton PPVC,37017,GOODY,John,4,N,N,LP,Liberal,82,24.7
NSW,104,Barton,97662,Haymarket BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,235,7.3
NSW,104,Barton,97662,Haymarket BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,115,-7.3
NSW,104,Barton,79724,Hurlstone Park (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,371,2.5
NSW,104,Barton,79724,Hurlstone Park (Barton),37017,GOODY,John,4,N,N,LP,Liberal,108,-2.5
NSW,104,Barton,2663,Hurstville (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,677,11.39
NSW,104,Barton,2663,Hurstville (Barton),37017,GOODY,John,4,N,N,LP,Liberal,390,-11.39
NSW,104,Barton,65171,Hurstville BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,3944,15.7
NSW,104,Barton,65171,Hurstville BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,2254,-15.7
NSW,104,Barton,2664,Hurstville East (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,706,10.18
NSW,104,Barton,2664,Hurstville East (Barton),37017,GOODY,John,4,N,N,LP,Liberal,404,-10.18
NSW,104,Barton,2665,Hurstville North,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,819,9.37
NSW,104,Barton,2665,Hurstville North,37017,GOODY,John,4,N,N,LP,Liberal,576,-9.37
NSW,104,Barton,2666,Kingsgrove,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,529,10.52
NSW,104,Barton,2666,Kingsgrove,37017,GOODY,John,4,N,N,LP,Liberal,309,-10.52
NSW,104,Barton,79715,Kingsgrove North (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,253,10.87
NSW,104,Barton,79715,Kingsgrove North (Barton),37017,GOODY,John,4,N,N,LP,Liberal,167,-10.87
NSW,104,Barton,2667,Kingsgrove South,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,702,8.85
NSW,104,Barton,2667,Kingsgrove South,37017,GOODY,John,4,N,N,LP,Liberal,372,-8.85
NSW,104,Barton,50,Kogarah Central,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1152,5.48
NSW,104,Barton,50,Kogarah Central,37017,GOODY,John,4,N,N,LP,Liberal,575,-5.48
NSW,104,Barton,97648,Kogarah West,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,539,7.27
NSW,104,Barton,97648,Kogarah West,37017,GOODY,John,4,N,N,LP,Liberal,249,-7.27
NSW,104,Barton,51,Kyeemagh,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,621,3.26
NSW,104,Barton,51,Kyeemagh,37017,GOODY,John,4,N,N,LP,Liberal,529,-3.26
NSW,104,Barton,65249,Marrickville BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,3697,5.12
NSW,104,Barton,65249,Marrickville BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,1287,-5.12
NSW,104,Barton,1016,Marrickville Park (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,772,5.84
NSW,104,Barton,1016,Marrickville Park (Barton),37017,GOODY,John,4,N,N,LP,Liberal,181,-5.84
NSW,104,Barton,1010,Marrickville South,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,715,1.95
NSW,104,Barton,1010,Marrickville South,37017,GOODY,John,4,N,N,LP,Liberal,145,-1.95
NSW,104,Barton,1011,Marrickville West (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1365,3.49
NSW,104,Barton,1011,Marrickville West (Barton),37017,GOODY,John,4,N,N,LP,Liberal,234,-3.5
NSW,104,Barton,62,Rockdale,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,820,2.04
NSW,104,Barton,62,Rockdale,37017,GOODY,John,4,N,N,LP,Liberal,397,-2.04
NSW,104,Barton,33869,Rockdale BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,6688,6.77
NSW,104,Barton,33869,Rockdale BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,3493,-6.77
NSW,104,Barton,63,Rockdale Central,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,902,6.43
NSW,104,Barton,63,Rockdale Central,37017,GOODY,John,4,N,N,LP,Liberal,441,-6.43
NSW,104,Barton,83616,Rockdale City,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,202,4.49
NSW,104,Barton,83616,Rockdale City,37017,GOODY,John,4,N,N,LP,Liberal,93,-4.49
NSW,104,Barton,2671,Rockdale West,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,627,4.75
NSW,104,Barton,2671,Rockdale West,37017,GOODY,John,4,N,N,LP,Liberal,273,-4.75
NSW,104,Barton,108381,Sydney (Barton),36820,BURNEY,Linda,1,Y,Y,ALP,Labor,52,12.24
NSW,104,Barton,108381,Sydney (Barton),37017,GOODY,John,4,N,N,LP,Liberal,17,-12.24
NSW,104,Barton,97609,Sydney BARTON PPVC,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,384,16.27
NSW,104,Barton,97609,Sydney BARTON PPVC,37017,GOODY,John,4,N,N,LP,Liberal,174,-16.27
NSW,104,Barton,1470,Tempe,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1020,2.04
NSW,104,Barton,1470,Tempe,37017,GOODY,John,4,N,N,LP,Liberal,258,-2.04
NSW,104,Barton,2641,Turrella,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,389,2.87
NSW,104,Barton,2641,Turrella,37017,GOODY,John,4,N,N,LP,Liberal,175,-2.87
NSW,104,Barton,2673,Undercliffe,36820,BURNEY,Linda,1,Y,Y,ALP,Labor,1030,4.48
NSW,104,Barton,2673,Undercliffe,37017,GOODY,John,4,N,N,LP,Liberal,502,-4.48
NSW,105,Bennelong,634,Carlingford (Bennelong),37019,KENNEDY,Simon,4,N,N,LP,Liberal,420,-7.96
NSW,105,Bennelong,634,Carlingford (Bennelong),36827,LAXALE,Jerome,7,Y,N,ALP,Labor,450,7.96
NSW,105,Bennelong,33926,Carlingford East,37019,KENNEDY,Simon,4,N,N,LP,Liberal,766,-6.26
NSW,105,Bennelong,33926,Carlingford East,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,730,6.26
NSW,105,Bennelong,108392,Central Sydney (Bennelong),37019,KENNEDY,Simon,4,N,N,LP,Liberal,0,-51.65
NSW,105,Bennelong,108392,Central Sydney (Bennelong),36827,LAXALE,Jerome,7,Y,N,ALP,Labor,0,-48.35
NSW,105,Bennelong,97587,Central Sydney BENNELONG PPVC,37019,KENNEDY,Simon,4,N,N,LP,Liberal,35,-12.35
NSW,105,Bennelong,97587,Central Sydney BENNELONG PPVC,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,78,12.35
NSW,105,Bennelong,65177,Chatswood BENNELONG PPVC,37019,KENNEDY,Simon,4,N,N,LP,Liberal,208,-20.77
NSW,105,Bennelong,65177,Chatswood BENNELONG PPVC,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,329,20.77
NSW,105,Bennelong,638,Denistone,37019,KENNEDY,Simon,4,N,N,LP,Liberal,268,-9.14
NSW,105,Bennelong,638,Denistone,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,303,9.14
NSW,105,Bennelong,639,Denistone East,37019,KENNEDY,Simon,4,N,N,LP,Liberal,892,-10.41
NSW,105,Bennelong,639,Denistone East,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,1061,10.41
NSW,105,Bennelong,83564,Denistone South,37019,KENNEDY,Simon,4,N,N,LP,Liberal,377,-5.06
NSW,105,Bennelong,83564,Denistone South,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,358,5.06
NSW,105,Bennelong,647,Denistone West,37019,KENNEDY,Simon,4,N,N,LP,Liberal,195,-12.76
NSW,105,Bennelong,647,Denistone West,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,253,12.76
NSW,105,Bennelong,105,East Ryde,37019,KENNEDY,Simon,4,N,N,LP,Liberal,1089,-5.15
NSW,105,Bennelong,105,East Ryde,36827,LAXALE,Jerome,7,Y,N,ALP,Labor,996,5.15
